key,runs_1,runs_2,runs_3,runs_4,runs_5,runs_6,runs_7
0000000,0,0,0,0,0,0,1
0000001,1,0,0,0,0,1,0
0000010,2,0,0,0,1,0,0
0000011,0,1,0,0,1,0,0
0000100,1,1,0,1,0,0,0
0000101,3,0,0,1,0,0,0
0000110,1,1,0,1,0,0,0
0000111,0,0,1,1,0,0,0
0001000,1,0,2,0,0,0,0
0001001,2,1,1,0,0,0,0
0001010,4,0,1,0,0,0,0
0001011,2,1,1,0,0,0,0
0001100,0,2,1,0,0,0,0
0001101,2,1,1,0,0,0,0
0001110,1,0,2,0,0,0,0
0001111,0,0,1,1,0,0,0
0010000,1,1,0,1,0,0,0
0010001,2,1,1,0,0,0,0
0010010,3,2,0,0,0,0,0
0010011,1,3,0,0,0,0,0
0010100,3,2,0,0,0,0,0
0010101,5,1,0,0,0,0,0
0010110,3,2,0,0,0,0,0
0010111,2,1,1,0,0,0,0
0011000,0,2,1,0,0,0,0
0011001,1,3,0,0,0,0,0
0011010,3,2,0,0,0,0,0
0011011,1,3,0,0,0,0,0
0011100,0,2,1,0,0,0,0
0011101,2,1,1,0,0,0,0
0011110,1,1,0,1,0,0,0
0011111,0,1,0,0,1,0,0
0100000,2,0,0,0,1,0,0
0100001,3,0,0,1,0,0,0
0100010,4,0,1,0,0,0,0
0100011,2,1,1,0,0,0,0
0100100,3,2,0,0,0,0,0
0100101,5,1,0,0,0,0,0
0100110,3,2,0,0,0,0,0
0100111,2,1,1,0,0,0,0
0101000,4,0,1,0,0,0,0
0101001,5,1,0,0,0,0,0
0101010,7,0,0,0,0,0,0
0101011,5,1,0,0,0,0,0
0101100,3,2,0,0,0,0,0
0101101,5,1,0,0,0,0,0
0101110,4,0,1,0,0,0,0
0101111,3,0,0,1,0,0,0
0110000,1,1,0,1,0,0,0
0110001,2,1,1,0,0,0,0
0110010,3,2,0,0,0,0,0
0110011,1,3,0,0,0,0,0
0110100,3,2,0,0,0,0,0
0110101,5,1,0,0,0,0,0
0110110,3,2,0,0,0,0,0
0110111,2,1,1,0,0,0,0
0111000,1,0,2,0,0,0,0
0111001,2,1,1,0,0,0,0
0111010,4,0,1,0,0,0,0
0111011,2,1,1,0,0,0,0
0111100,1,1,0,1,0,0,0
0111101,3,0,0,1,0,0,0
0111110,2,0,0,0,1,0,0
0111111,1,0,0,0,0,1,0
1000000,1,0,0,0,0,1,0
1000001,2,0,0,0,1,0,0
1000010,3,0,0,1,0,0,0
1000011,1,1,0,1,0,0,0
1000100,2,1,1,0,0,0,0
1000101,4,0,1,0,0,0,0
1000110,2,1,1,0,0,0,0
1000111,1,0,2,0,0,0,0
1001000,2,1,1,0,0,0,0
1001001,3,2,0,0,0,0,0
1001010,5,1,0,0,0,0,0
1001011,3,2,0,0,0,0,0
1001100,1,3,0,0,0,0,0
1001101,3,2,0,0,0,0,0
1001110,2,1,1,0,0,0,0
1001111,1,1,0,1,0,0,0
1010000,3,0,0,1,0,0,0
1010001,4,0,1,0,0,0,0
1010010,5,1,0,0,0,0,0
1010011,3,2,0,0,0,0,0
1010100,5,1,0,0,0,0,0
1010101,7,0,0,0,0,0,0
1010110,5,1,0,0,0,0,0
1010111,4,0,1,0,0,0,0
1011000,2,1,1,0,0,0,0
1011001,3,2,0,0,0,0,0
1011010,5,1,0,0,0,0,0
1011011,3,2,0,0,0,0,0
1011100,2,1,1,0,0,0,0
1011101,4,0,1,0,0,0,0
1011110,3,0,0,1,0,0,0
1011111,2,0,0,0,1,0,0
1100000,0,1,0,0,1,0,0
1100001,1,1,0,1,0,0,0
1100010,2,1,1,0,0,0,0
1100011,0,2,1,0,0,0,0
1100100,1,3,0,0,0,0,0
1100101,3,2,0,0,0,0,0
1100110,1,3,0,0,0,0,0
1100111,0,2,1,0,0,0,0
1101000,2,1,1,0,0,0,0
1101001,3,2,0,0,0,0,0
1101010,5,1,0,0,0,0,0
1101011,3,2,0,0,0,0,0
1101100,1,3,0,0,0,0,0
1101101,3,2,0,0,0,0,0
1101110,2,1,1,0,0,0,0
1101111,1,1,0,1,0,0,0
1110000,0,0,1,1,0,0,0
1110001,1,0,2,0,0,0,0
1110010,2,1,1,0,0,0,0
1110011,0,2,1,0,0,0,0
1110100,2,1,1,0,0,0,0
1110101,4,0,1,0,0,0,0
1110110,2,1,1,0,0,0,0
1110111,1,0,2,0,0,0,0
1111000,0,0,1,1,0,0,0
1111001,1,1,0,1,0,0,0
1111010,3,0,0,1,0,0,0
1111011,1,1,0,1,0,0,0
1111100,0,1,0,0,1,0,0
1111101,2,0,0,0,1,0,0
1111110,1,0,0,0,0,1,0
1111111,0,0,0,0,0,0,1
